cannon_x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-6.22281,-6.22496,-6.22394,-6.22369
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,-0.011,-0.0099905,-0.01,0
27,-0.011,-0.0099905,-0.009981,-0.0099715
28,-0.011,0,-0.01999,-0.01999
29,-0.032967,-0.0399021,-0.0399021,-0.02997
30,-0.0548427,-0.0498338,-0.0447421,-0.0497579
31,-0.0219795,-0.019971,-0.0299226,-0.0299036
32,-0.032948,-0.029951,-0.0398831,-0.0398452
33,-10.5583,-9.96967,-9.96967,-9.96967
34,0,-0.0499001,-0.02997,-0.02997
35,-0.0658163,-0.0597839,-0.0696578,-0.0696293
36,-0.0658352,-0.0598028,-0.0597743,-0.0597932
37,0,0,0,0
38,-10.9717,-9.97198,-9.97198,-9.97198
39,-0.689963,0.0265263,0.0221528,0.0285009
40,-0.884163,0.0284986,0.0239903,0.0285009
41,-0.705984,0.0284845,0.0284925,0.0285009
42,-0.899974,0.0284939,0.028496,0.0285009
43,-0.787724,0.0284883,0.0284919,0.0285009
44,-0.815666,0.0284887,0.0284958,0.0285009
45,-0.848015,0.0310579,0.0310804,0.0340545
46,-0.968127,0.028494,0.0284955,0.0532645
47,-0.843642,0.0291698,0.0291522,0.0418277
48,-0.908316,0.0491424,0.0291953,0.0625034
49,-0.825731,0.0302763,0.030272,0.031477
50,-0.669008,0.0301107,0.0301181,0.0302944
51,-0.879609,0.0291855,0.029194,0.0292027
52,-0.673414,0.0318798,0.0318873,0.0318895
53,-0.799965,0.0293772,0.0293779,0.0368795
54,-0.620895,0.0293155,0.029326,0.0319309
55,-0.679649,0.0313454,0.0313686,0.0314841
56,-0.828234,0.0309438,0.0309567,0.0309582
57,-0.786693,0.0384665,0.038466,0.0384637
58,-0.734707,0.0382993,0.0383142,0.0383096
59,-0.782607,0.0390858,0.0390701,0.0390858
60,-0.890724,0.0476413,0.0476236,0.0516598
61,-0.787077,0.184794,0.0544077,0.0718601
62,-0.785113,0.0652926,0.0654895,0.0913536
63,-0.621714,0.057813,0.0576943,0.0721334
64,-0.73608,0.0583886,0.0586432,0.11167
65,-0.575603,0.0545596,0.054604,0.0813366
66,-0.520733,0.0668466,0.067509,0.097664
67,-0.476731,0.0698981,0.0753065,0.0910228
68,-0.725817,0.0686544,0.0635687,0.0906237
69,-0.692377,0.0649698,0.0648868,0.09322
70,-0.682494,0.0593728,0.0593214,0.102459
71,-0.701932,0.0505206,0.0411597,0.0617439
72,-0.678415,0.0457631,0.0458188,0.0898425
73,-0.446348,0.0366958,0.0366982,0.0864904
74,-0.465983,0.106723,0.0568739,0.123655
75,-0.468781,0.0452168,0.0452093,0.0586592
76,-0.673018,0.176405,0.0439826,0.0440872
77,-0.884644,0.0448477,0.0450622,0.0823818
78,-0.946357,0.0479329,0.0478868,0.150602
79,-0.942323,0.0340653,0.0525981,0.0650378
80,-0.820039,0.0287256,0.0287398,0.130766
81,-0.457263,0.013767,0.0489295,0.0934288
82,-0.82216,0.0764137,0.0759095,0.142538
83,-0.638035,0.0543609,0.054334,0.0543641
84,-0.691971,0.0700299,0.0669972,0.0700643
85,-0.657307,0.062881,0.0628663,0.086608
86,-0.456591,0.0337547,0.028207,0.0491953
87,-0.814949,0.042893,0.042893,0.0428966
88,-0.680361,0.0487802,0.0487889,0.048794
89,-0.405776,0.150921,0.0648748,0.0460407
90,-0.755046,0.0430942,0.0360004,0.0554428
91,-0.587328,0.228535,0.0445109,0.0589685
92,-0.417794,0.0570417,0.0571255,0.100666
93,-0.642198,0.0664445,0.0665106,0.10918
94,-0.449944,0.0727784,0.0731262,0.0853414
95,-0.348016,0.0615269,0.0835326,0.106402
96,-0.568596,0.0648974,0.0648946,0.0906185
97,-0.704875,0.0733217,0.073333,0.0732888
98,-0.295951,0.0204177,0.044831,0.0860425
99,-0.685556,0.0904507,0.0823012,0.102982
100,-0.526296,0.268995,0.0766985,0.0889286
101,-0.352184,0.066193,0.0668707,0.12724
102,-0.506281,0.0522531,0.0870197,0.135677
103,-0.691547,0.0631009,0.0717706,0.113765
104,-0.761981,0.0798934,0.0849514,0.0967617
105,-0.663414,0.0598865,0.0650225,0.102339
106,-0.290186,0.0449967,0.0136705,0.144105
107,-0.802925,0.0435089,0.0373176,0.0435318
108,-0.78007,0.0700352,0.0604981,0.0852573
109,-0.764069,0.0309038,0.0309079,0.0473285
110,-0.917324,0.027967,0.0286422,0.119796
111,-0.924594,0.0324274,0.0325921,0.245891
112,-0.914207,0.0398662,0.0398733,0.0610873
113,-0.378878,0.00977607,0.00911933,0.0605114
114,-0.778866,0.0584442,0.0585109,0.0974738
115,-0.650138,0.0633207,0.0567697,0.0633416
116,-0.392537,0.0383956,0.0626271,0.0818992
117,-0.309142,0.0440613,0.0524027,0.0730455
118,-0.624455,0.0740497,0.0741446,0.093031
119,-0.361206,0.0667738,0.0321528,0.0675692
120,-10.9171,-9.9622,-9.97103,-9.94132
121,-0.032967,-0.0399211,-0.0398642,-0.0398641
122,-0.463017,-0.458887,-0.462978,-0.458161
123,-0.06575,-0.0597744,-0.0597554,-0.059708
124,-0.0658163,-0.0597933,-0.0597365,-0.0696009
125,-0.0658068,-0.0597744,-0.0597459,-0.0696482
126,-0.011,-0.01,-0.01999,-0.01
127,-0.021989,-0.02997,-0.029951,-0.029913
128,-0.185493,-0.178271,-0.187989,-0.187941
129,-0.0985861,-0.0895557,-0.08948,-0.0993335
130,-0.163831,-0.158589,-0.158494,-0.168166
131,-0.131267,-0.138961,-0.138848,-0.138707
132,-0.0767694,-0.0697241,-0.0795975,-0.0795123
133,-0.032948,-0.0399021,-0.0398642,-0.0398546
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
