cannon_x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-6.05582,-6.05774,-6.05659,-6.05806
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,-0.01
26,-0.011,-0.0099905,-0.009981,-0.019933
27,-0.032967,-0.0299415,-0.0299131,-0.0398546
28,-0.0439341,-0.0498527,-0.0498053,-0.0497863
29,-0.0439341,-0.0399021,-0.0398642,-0.0497579
30,-0.0439341,-0.0399116,-0.0498242,-0.0497863
31,-0.021989,-0.019971,-0.019952,-0.019933
32,-0.0657784,-0.0597933,-0.0696671,-0.0695522
33,-10.8788,-9.96672,-9.96669,-9.9527
34,-0.0548901,-0.0498811,-0.0498242,-0.0497863
35,-0.0876548,-0.0796165,-0.0894894,-0.0894042
36,-0.109469,-0.109319,-0.109244,-0.109196
37,-0.0439151,-0.0498527,-0.0498053,-0.0497674
38,-10.972,-9.97198,-9.97198,-9.97102
39,-0.939438,0.0284908,0.0284925,0.0285009
40,-0.930566,0.0284865,0.0284957,0.0285009
41,-0.929603,0.0284854,0.0284946,0.0285009
42,-0.926348,0.0284859,0.0284954,0.0285009
43,-0.893239,0.0284939,0.0284961,0.0285016
44,-0.925685,0.0284931,0.0285,0.028509
45,-0.823204,0.0387538,0.0387516,0.038747
46,-0.914685,0.0285858,0.0285829,0.0339585
47,-0.809186,0.0401591,0.0444329,0.106957
48,-0.960897,0.0325952,0.0326094,0.0326101
49,-0.914489,0.0439904,0.0439896,0.0439754
50,-0.870676,0.0389392,0.0389609,0.0389639
51,-0.923634,0.0329463,0.0329514,0.0329595
52,-0.879491,0.0357406,0.0357411,0.0357398
53,-0.906709,0.0372589,0.0372655,0.0381842
54,-0.845592,0.0374716,0.0374391,0.0382029
55,-0.812436,0.0337745,0.0337608,0.0337879
56,-0.831214,0.0329199,0.0329213,0.0329249
57,-0.849759,0.0410244,0.0411237,0.0522049
58,-0.860327,0.0443615,0.0444112,0.0659852
59,-0.830433,0.0455361,0.04554,0.0511906
60,-0.87939,0.0453614,0.0453679,0.0856452
61,-0.881633,0.048563,0.048576,0.10286
62,-0.799108,0.0568335,0.0569764,0.0996951
63,-0.8012,0.0474695,0.0474691,0.0474719
64,-0.743247,0.0579632,0.0579452,0.0579347
65,-0.821453,0.195876,0.0825534,0.0806353
66,-0.740296,0.062193,0.0622208,0.0970954
67,-0.773241,0.0671617,0.0671524,0.164047
68,-0.77576,0.0843507,0.0845786,0.144019
69,-0.884209,0.0714708,0.073184,0.124422
70,-0.775764,0.0829847,0.0773917,0.289875
71,-0.770927,0.0792966,0.0788556,0.225327
72,-0.720666,0.0883881,0.0836195,0.104293
73,-0.856073,0.0621576,0.0624274,0.125654
74,-0.713985,0.0675014,0.0673148,0.159184
75,-0.70889,0.0870665,0.0817885,0.121772
76,-0.780989,0.0581838,0.0582449,0.13702
77,-0.870336,0.0373401,0.0373119,0.161598
78,-0.956017,0.053855,0.0523882,0.106458
79,-0.915968,0.0719124,0.0381553,0.095532
80,-0.870679,0.0454952,0.0412926,0.0808772
81,-0.818549,0.0905223,0.0904548,0.0963381
82,-0.719383,0.0438603,0.0474243,0.078083
83,-0.806583,0.0616342,0.0367453,0.125876
84,-0.722316,0.0514551,0.0439964,0.143675
85,-0.730671,0.0795779,0.0699456,0.0914934
86,-0.670045,0.0755611,0.0695432,0.0974146
87,-0.843099,0.122094,0.0537919,0.053977
88,-0.862362,0.0888142,0.0789601,0.133363
89,-0.668488,0.0666912,0.0646472,0.193733
90,-0.779812,0.0415417,0.0415665,0.0640898
91,-0.731454,0.0796361,0.0794835,0.0839063
92,-0.729687,0.0764549,0.0763656,0.147975
93,-0.64508,0.0701986,0.0701447,0.0990016
94,-0.643561,0.0625973,0.062602,0.0634449
95,-0.706131,0.0696652,0.0665809,0.0892489
96,-0.727654,0.305787,0.0688827,0.0691844
97,-0.658377,0.0805819,0.0806332,0.11302
98,-0.789876,0.0825219,0.103091,0.103107
99,-0.805711,0.102449,0.102478,0.102477
100,-0.692056,0.0752056,0.0752635,0.0752638
101,-0.705524,0.0742682,0.0743967,0.0839985
102,-0.763397,0.087189,0.0870073,0.099382
103,-0.858303,0.0531572,0.0531024,0.101729
104,-0.599528,0.108129,0.0928518,0.123444
105,-0.828968,0.0831458,0.0830887,0.0941841
106,-0.702943,0.0852419,0.0976723,0.121154
107,-0.746084,0.0759295,0.071156,0.121201
108,-0.766487,0.079332,0.0793274,0.0886584
109,-0.889905,0.0441809,0.0441112,0.118293
110,-0.931171,0.0388941,0.0388183,0.116007
111,-0.898497,0.0538746,0.0418099,0.151223
112,-0.925921,0.0309011,0.0622102,0.138151
113,-0.810321,0.0681719,0.0682036,0.120425
114,-0.730927,0.0283695,0.0542401,0.112233
115,-0.796863,0.0668722,0.0668329,0.0928279
116,-0.643665,0.0843176,0.0688447,0.0842648
117,-0.687079,0.0778436,0.0779039,0.0900082
118,-0.759841,0.187418,0.0632935,0.0784072
119,-0.662043,0.0937488,0.0936395,0.163951
120,-10.87,-9.82024,-9.95894,-9.97018
121,-0.032967,-0.0299605,-0.0398642,-0.0398641
122,-0.56806,-0.576153,-0.572393,-0.571893
123,-0.109506,-0.099466,-0.0993621,-0.0993146
124,-0.0658352,-0.0597838,-0.0546577,-0.0696198
125,-0.0985766,-0.0994472,-0.0993526,-0.099277
126,-0.021989,-0.019971,-0.0299131,-0.0299225
127,-0.0219795,-0.019971,-0.029932,-0.029913
128,-0.271604,-0.266238,-0.265994,-0.265797
129,-0.16385,-0.158664,-0.167931,-0.168269
130,-0.0876926,-0.0796354,-0.0795786,-0.0894136
131,-0.109506,-0.109357,-0.109263,-0.109168
132,-0.0876547,-0.0994567,-0.0895461,-0.0894042
133,-0.0439341,-0.0399116,-0.0498242,-0.0498337
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
